"ID","Name","Location","Phone","Email"
"955","Michelle W. Brindle","Westfield, NJ","908-789-4046","mayorbrindle@westfieldnj.gov"
"956","Raymond A. Giacobbe","Rahway, NJ","732-827-2009","mayor@cityofrahway.com"
"957","Shawn R Klein","Livingston, NJ","","sklein@livingstonnj.org"
"958","Victor De Luca","Maplewood, NJ","","v.deluca@twp.maplewood.nj.us"
"959","Jesse L. Tweedle Sr","Pleasantville, NJ","609-484-3610","mayor@pleasantvillenj.us"
"960","Richard S. Goldberg","Hawthorne, NJ","",""
"961","Sheena C. Collum","South Orange Village, NJ","973-378-7715","scollum@southorange.org"
"962","Robert Fazen","Bound Brook, NJ","732-356-0833","rfazen@boundbrook-nj.org"
"963","Colleen Mahr","Fanwood, NJ","908-322-8236","mayor@fanwoodnj.org"
"964","Peter Holmberg","Mountain Lakes, NJ","","pholmberg@mtnlakes.org"
"965","Julia Fahl","Lambertville, NJ","505-659-9969","mayorfahl@lambertvillenj.org"
"966","Timothy C. McDonough","Hope, NJ","908-459-5011","timothymcdonough@embarqmail.com"
"967","Raymond Heck","Millstone Borough, NJ","609-989-9216","mayor@millstoneboro.org"
"968","Paul M. Kanitra","Point Pleasant Beach, NJ","(202) 556-5040","pkanitra@pointbeach.org"
"969","Tim Keller","Albuquerque, NM","505-768-3000","tkeller@cabq.gov"
"970","Kenneth D. Miyagishima","Las Cruces, NM","575-541-2067","mayor@las-cruces.org"
"971","Greggory D. Hull","Rio Rancho, NM","505-891-5001","ghull@ci.rio-rancho.nm.us"
"972","Alan Webber","Santa Fe, NM","505-955-6590","mayor@santafenm.gov"
"973","Dennis J. Kintigh","Roswell, NM","505-637-6201","roswellmayor@roswell-nm.gov"
"974","Nate Duckett","Farmington, NM","505-599-1100","nduckett@fmtn.org"
"975","Mike Morris","Clovis, NM","(575) 769-7828","mmorris@cityofclovis.org"
"976","Sam Cobb","Hobbs, NM","575-397-9200","scobb@hobbsnm.org"
"977","Richard Boss","Alamogordo, NM","575-214-0024","rboss@ci.alamogordo.nm.us"
"978","Javier Perea","Sunland Park, NM","575-589-7565","javier.perea@sunlandpark-nm.gov"
"979","Bill de Blasio","New York, NY","212-788-3000","acaplan@cityhall.nyc.gov"
"980","Angie M. Carpenter","Islip, NY","631-224-5500","supervisorsoffice@townofislip-ny.gov"
"981","Joseph S. Saladino","Oyster Bay, NY","516-624-6350","josephsaladino@oysterbay-ny.gov"
"982","Byron W. Brown","Buffalo, NY","716-851-4841","mayorwebmail@city-buffalo.com"
"983","Richard H. Schaffer","Babylon, NY","631-957-3072","rschaffer@townofbabylon.com"
"984","Lovely A. Warren","Rochester, NY","585-428-7045","info@cityofrochester.gov"
"985","Chad Lupinacci","Huntington, NY","631-351-3030","clupinacci@huntingtonny.gov"
"986","Mike Spano","Yonkers, NY","914-377-6300","cityhall@yonkersny.gov"
"987","Ben Walsh","Syracuse, NY","315-448-8005","mayor@syrgov.net"
"988","Kathy M. Sheehan","Albany, NY","518-434-5105","ksheehan@albanyny.gov"
"989","Noam Bramson","New Rochelle, NY","914-654-2150","nbramson@newrochelleny.com"
"990","Shawyn Patterson-Howard","Mount Vernon, NY","914-665-2360","mclark5651@gmail.com"
"991","Gary R. McCarthy","Schenectady, NY","518-382-5000","gmccarthy@schenectadyny.gov"
"992","Robert Palmieri","Utica, NY","315-792-0100","mayor@cityofutica.com"
"993","Thomas M. Roach","White Plains, NY","914-422-1411","troach@whiteplainsny.gov"
"994","Rick Materese","Union, NY","607-786-2930","rmaterese@townofunion.com"
"995","Don Ryan","Hempstead, NY","516-478-6200","dryan@villageofhempsteadny.gov"
"996","Gabriel Rodriguez","West New York, NJ","201-295-5227","grodriguez@westnewyorknj.org"
"997","David A. Seeley","Irondequoit, NY","585-336-6034","supervisor@irondequoit.org"
"998","Patrick Madden","Troy, NY","518-279-7130","mayorsoffice@troyny.gov"
"999","Chris Day","Orangetown, NY","845-359-5100","supervisor@orangetown.com"
"1000","Robert Restaino","Niagara Falls, NY","716-286-4310","robert.restaino@niagarafallsny.gov"
"1001","Richard C. David","Binghamton, NY","607-772-7001","rcdavid@cityofbinghamton.com"
"1002","Sheila M. Meegan","West Seneca, NY","716-997-7200","smeegan@twsny.org"
"1003","Carl Fulgenzi Jr.","Mount Pleasant, NY","914-742-2301","cfulgenzi@mtpleasantny.com"
"1004","Robert T. Kennedy","Freeport, NY","516-377-2252","mayor@freeportny.gov"
"1005","Ronald W. Nesbitt","Webster, NY","585-872-1000","supervisor@ci.webster.ny.us"
"1006","Steve Schultz","Henrietta, NY","585-359-7001","sschultz@henrietta.org"
"1007","Linda D. Puglisi","Cortlandt, NY","914-734-1001","lindap@townofcortlandt.com"
"1008","Anthony Cardone III","Monroe, NY","845-637-6031","leah@monroeny.org"
"1009","Edwin A. Fare","Valley Stream, NY","516-825-4200",""
"1010","Philip Barrett","Clifton Park, NY","518-371-6651","pbarrett@cliftonpark.org"
"1011","Howard T. Phillips Jr.","Haverstraw, NY","845-429-2200","aguarino@townofhaverstraw.org"
"1012","William W. Moehle","Brighton, NY","585-784-5252","william.moehle@townofbrighton.org"
"1013","Tony LaFountain","Penfield, NY","585-340-8631","supervisor@penfield.org"
"1014","Ilan D. Gilbert","Yorktown, NY","914-962-5722 ext. 200","igilbert@yorktownny.org"
"1015","Peter G. Barber","Guilderland, NY","518-356-1980","barberp@townofguilderland.org"
"1016","Kenneth Schmitt","Carmel, NY","845-628-1500","ks@ci.carmel.ny.us"
"1017","Mark A. Nicotra","Salina, NY","315-457-6661","supervisor@salina.ny.us"
"1018","David Vanluven","Bethlehem, NY","518-439-4955","dvanluven@townofbethlehem.org"
"1019","Laura Jens-Smith","Riverhead, NY","631-727-3200 x251","supervisor@townofriverheadny.gov"
"1020","Anthony Eramo","Long Beach, NY","516-431-1000","aeramo@longbeachny.gov"
"1021","Edmond J. Theobald","Manlius, NY","315-637-3414","etheobald@townofmanlius.org"
"1022","Anthony S. Colavita","Eastchester, NY","914-771-3301","supervisor@eastchester.org"
"1023","Alan M. Simon","Spring Valley, NY","845-352-1100","asimon@villagespringvalley.org"
"1024","Jacqueline M. Izzo","Rome, NY","315-339-7677","mayor@romecitygov.com"
"1025","Michael P. Sweeton","Warwick, NY","845-986-1120","msweeton@townofwarwick.org"
"1026","Mark R. Venesky","Cicero, NY","315-699-1414","mvenesky@ciceronewyork.net"
"1027","Svante L. Myrick","Ithaca, NY","607-274-6501","mayormyrick@cityofithaca.org"
"1028","Patrick Casilio","Clarence, NY","716-741-8930","pcasilio@clarence.ny.us"
"1029","Robert G. Rolison","Poughkeepsie, NY","845-451-4073","mayor@cityofpoughkeepsie.com"
"1030","Arthur G. Pappas","North Tonawanda, NY","716-695-8540","artpappas@northtonawanda.org"
"1031","Edward A. Sundquist","Jamestown, NY","716-483-7600","mayor@cityofjamestownny.com"
"1032","Joanne Yepsen","Saratoga Springs, NY","","joanne.yepsen@saratoga-springs.org"
"1033","Francis X. Murray","Rockville Centre, NY","516-678-9260","fxmurray@rvcny.us"
"1034","Steven T Noble","Kingston, NY","","snoble@kingston-ny.gov"
"1035","William J. Barlow Jr","Oswego, NY","315-342-8136","mayor@oswegony.org"
"1036","Joseph A Sack","Rye, NY","","jsack@ryeny.gov"
"1037","Rick Davis","Tonawanda, NY","716-695-8645","mayor@tonawandacity.com"
"1038","Wilfred Rosas","Dunkirk, NY","","wrosas@cityofdunkirk.com"
"1039","Ellen Polimeni","Canandaigua, NY","","ellen.polimeni@canandaiguanewyork.gov"
"1040","Peter Swiderski","Hastings-on-Hudson, NY","",""
"1041","Vi Alexander Lyles","Charlotte, NC","704-336-3131","vlyles@charlottenc.gov"
"1042","Mary-Ann Baldwin","Raleigh, NC","919-996-3050","mary-ann.baldwin@raleighnc.gov"
"1043","Nancy Vaughan","Greensboro, NC","336-373-2396","nancy.vaughan@greensboro-nc.gov"
"1044","Steve Schewel","Durham, NC","919-560-4396","steve.schewel@durhamnc.gov"
"1045","James Allen Joines","Winston-Salem, NC","336-727-2058","allenj@cityofws.org"
"1046","Mitch Colvin","Fayetteville, NC","910-670-5186","mitch.colvin@ci.fay.nc.us"
"1047","Harold Weinbrecht Jr.","Cary, NC","919-469-4011","harold.weinbrecht@townofcary.org"
"1048","Bill Saffo","Wilmington, NC","910-341-7815","bill.saffo@wilmingtonnc.gov"
"1049","Jay W. Wagner","High Point, NC","336-883-3305","jay.wagner@highpointnc.gov"
"1050","William 'Bill' C. Dusch","Concord, NC","704-920-5215","duschb@concordnc.gov"
"1051","P.J. Connelly","Greenville, NC","252-329-4422","pjconnelly@greenvillenc.gov"
"1052","Esther E. Manheimer","Asheville, NC","828-259-5600","esthermanheimer@avlcouncil.com"
"1053","Walker E. Reid III","Gastonia, NC","704-866-6720","mayorreid@cityofgastonia.com"
"1054","Sammy Phillips","Jacksonville, NC","910-938-5200","mayor@ci.jacksonville.nc.us"
"1055","Pam Hemminger","Chapel Hill, NC","919-968-2714","mayor@townofchapelhill.org"
"1056","John Aneralla","Huntersville, NC","704-895-0586","janeralla@huntersville.org"
"1057","C. 'Sandy' Saunders Roberson Jr.","Rocky Mount, NC","252-972-1130","sandy.roberson@rockymountnc.gov"
"1058","Jacques Gilbert","Apex, NC","919-249-3304","jacques.gilbert@apexnc.org"
"1059","Ian Baltutis","Burlington, NC","336-222-5020","ibaltutis@ci.burlington.nc.us"
"1060","M Darrell Hinnant","Kannapolis, NC","704-920-4300","dhinnant@cityofkannapolis.com"
"1061","C Bruce Rose","Wilson, NC","252-399-2310","brose@wilsonnc.org"
"1062","Vivian Jones","Wake Forest, NC","919-435-9431","mayor@wakeforestnc.gov"
"1063","Hank Guess","Hickory, NC","828-323-7400","hguess@hickorync.gov"
"1064","Michael Alvarez","Indian Trail, NC","704-821-8114","mayor@council.indiantrail.org"
"1065","Miles Atkins","Mooresville, NC","704-799-4210","matkins@mooresvillenc.gov"
"1066","Bobby G. Kilgore","Monroe, NC","704-282-4528","bkilgore@monroenc.org"
"1067","Chuck Allen","Goldsboro, NC","919-580-4330","lgetz@goldsboronc.gov"
"1068","Karen K. Alexander","Salisbury, NC","704-638-5231","karen.alexander@salisburync.gov"
"1069","Dana E. Outlaw","New Bern, NC","252-639-2702","dana@danaoutlaw.com"
"1070","T Chet Mann","Sanford, NC","919-777-1110","sanfordmayor@yahoo.com"
"1071","Lydia Lavelle","Carrboro, NC","919-918-7310","llavelle@townofcarrboro.org"
"1072","Dontario 'Don' Hardy","Kinston, NC","252-939-3114","mayor.hardy@ci.kinston.nc.us"
"1073","","Knightdale, NC","",""
"1074","Robert L. Johnson","North Wilkesboro, NC","336-667-0115","robljohnson43@yahoo.com"
"1075","Tim Mahoney","Fargo, ND","701-241-1310","tmahoney@cityoffargo.com"
"1076","Steve Bakken","Bismarck, ND","701-355-1300","sbakken@bismarcknd.gov"
"1077","Michael R. Brown M.D.","Grand Forks, ND","701-746-2607","mbrown@grandforksgov.com"
"1078","Shaun Sipma","Minot, ND","701-721-6839","mayor@minotnd.org"
"1079","Andrew J. Ginther","Columbus, OH","614-645-7671","311@columbus.gov"
"1080","Frank G. Jackson","Cleveland, OH","216-664-3544","vmccall@city.cleveland.oh.us"
"1081","John Cranley","Cincinnati, OH","513-352-3250","mayor.cranley@cincinnati-oh.gov"
"1082","Wade Kapszukiewicz","Toledo, OH","419-245-1004","mayor@toledo.oh.gov"
"1083","Dan Horrigan","Akron, OH","330-375-2345","mayor@akronohio.gov"
"1084","Nan Whaley","Dayton, OH","937-333-3636","nan.whaley@daytonohio.gov"
"1085","Timothy J. DeGeeter","Parma, OH","440-885-8001","mayorsoffice@cityofparma-oh.gov"
"1086","Thomas M. Bernabei","Canton, OH","330-438-4307","thomas.bernabei@cantonohio.gov"
"1087","Jamael Tito Brown","Youngstown, OH","330-742-8701","mayor@youngstownohio.gov"
"1088","Jack W. Bradley","Lorain, OH","440-204-2002","jack_bradley@cityoflorain.org"
"1089","Pat Moeller","Hamilton, OH","513-785-7040","moellerp@ci.hamilton.oh.us"
"1090","Warren R. Copeland","Springfield, OH","937-324-7700","wcopeland@wittenberg.edu"
"1091","Don Patterson","Kettering, OH","937-296-2416","don.patterson@ketteringoh.org"
"1092","Frank Whitfield","Elyria, OH","440-326-1550","fwhitfield@cityofelyria.org"
"1093","Meghan F. George","Lakewood, OH","216-408-4063","mayor@lakewoodoh.net"
"1094","Jeff Hall","Newark, OH","740-670-7500","jlong@newarkohio.net"
"1095","Don Walters","Cuyahoga Falls, OH","330-971-8200","mayor@cityofcf.com"
"1096","Nicole Condrey","Middletown, OH","513-258-7284","nicolec@cityofmiddletown.org"
"1097","Chris Amorose Groomes","Dublin, OH","614-889-2682","cagroomes@dublin.oh.us"
"1098","Bob Stone","Beavercreek, OH","937-545-1442","stone@beavercreekohio.gov"
"1099","John A. Krueger","Mentor, OH","440-487-9009","krueger@cityofmentor.com"
"1100","Kirsten Holzheimer Gail","Euclid, OH","216-289-2751","mayor@cityofeuclid.com"
"1101","Tim Theaker","Mansfield, OH","419-755-9626","ttheaker@ci.mansfield.oh.us"
"1102","Thomas P. Perciak","Strongsville, OH","440-580-3100","tom.perciak@strongsville.org"
"1103","Jason S. Stein","Cleveland Heights, OH","440-253-9613","mayorstein@clvhts.com"
"1104","Steve Miller","Fairfield, OH","513-867-5300","smiller@fairfield-city.org"
"1105","Richard 'Ike' L. Stage","Grove City, OH","614-277-3000",""
"1106","Christina Muryn","Findlay, OH","419-424-7137","mayor@findlayohio.com"
"1107","David L. Scheffler","Lancaster, OH","740-687-6600","mayor@ci.lancaster.oh.us"
"1108","Carolyn Kay Riggle","Delaware, OH","740-815-5876","criggle@delawareohio.net"
"1109","William 'Doug' Franklin","Warren, OH","330-841-2601","dfranklin@warren.org"
"1110","Joe Begeny","Reynoldsburg, OH","614-322-6800","jrosenthal@ci.reynoldsburg.oh.us"
"1111","Jeffrey Gore","Huber Heights, OH","937-985-6275","jgore@hhoh.org"
"1112","David J. Berger","Lima, OH","419-221-5202","mayor@cityhall.lima.oh.us"
"1113","Craig Treneff","Westerville, OH","614-901-6410","craig.treneff@westerville.org"
"1114","Scott Schertzer","Marion, OH","740-387-3591","mayorschertzer@marionohio.org"
"1115","Laurie A. Jadwin","Gahanna, OH","(614) 342-4047","laurie.jadwin@gahanna.gov"
"1116","Kip Greenhill","Upper Arlington, OH","614-457-3793","kgreenhill@uaoh.net"
"1117","Ron Falconi","Brunswick, OH","330-225-9144","rfalconi@brunswick.oh.us"
"1118","John Pribonic","Stow, OH","330-689-2800",""
"1119","Kevin Corcoran","North Ridgeville, OH","440-353-0811","kcorcoran@nridgeville.org"
"1120","Paul Keller","Fairborn, OH","937-754-3030","paul.keller@ci.fairborn.oh.us"
"1121","Kathy Grossmann","Mason, OH","513-229-8500","council@masonoh.org"
"1122","Kathy Catazaro-Perry","Massillon, OH","330-830-1700","mayorkathy@massillonohio.gov"
"1123","Dennis M. Clough","Westlake, OH","440-617-4193","dclough@cityofwestlake.org"
"1124","Kevin M. Kennedy","North Olmsted, OH","440-716-4140","mayorkennedy@north-olmsted.com"
"1125","Mike Aspacher","Bowling Green, OH","419-354-6204","bgcity@bgohio.org"
"1126","","Hilliard, OH","",""
"1127","Larry Antoskiewicz","North Royalton, OH","440-237-4300","mayorantoskiewicz@northroyalton.org"
"1128","David E. Weiss","Shaker Heights, OH","216-491-1410","mayor@shakeronline.com"
"1129","Mary Ann McDonald","Trotwood, OH","937-854-7212","sriege@trotwood.org"
"1130","Gary W. Starr","Middleburg Heights, OH","440-234-8811","jstupka@middleburgheights.com"
"1131","Paul Koomer","Bay Village, OH","","pkoomar@cityofbayvillage.com"
"1132","Bradley D. Sellers","Warrensville Heights, OH","216-587-6500","mayor@cityofwarrensville.com"
"1133","Kathy Bailey","Loveland, OH","513-707-1437","kbailey@lovelandoh.gov"
"1134","Sloan Spalding","New Albany, OH","614-939-4019","mayor@newalbanyohio.org"
"1135","Brian K. Poole","Woodlawn, OH","513-771-6130","mayorpoole@beautifulwoodlawn.us"
"1136","Kathy U. Mulcahy","Orange Village, OH","440-498-4400",""
"1137","Charles E. Smith Jr.","Woodmere, OH","216-831-9511","chuck45heat@gmail.com"
"1138","Tracy Johnson","Lockington, OH","(513) 316-0453","tracy.johnson.lockington@gmail.com"
"1139","David Holt","Oklahoma City, OK","405-297-2424","mayor@okc.gov"
"1140","G.T. Bynum","Tulsa, OK","918-596-7411","mayor@cityoftulsa.org"
"1141","Breea Clark","Norman, OK","405-366-5402","mayor@normanok.gov"
"1142","Craig Thurmond","Broken Arrow, OK","918-259-8419","cthurmond@brokenarrowok.gov"
"1143","Daniel O'Neil","Edmond, OK","405-359-4640","dan.oneil@edmondok.com"
"1144","Stan Booker","Lawton, OK","580-581-3301","sbooker@lawtonok.gov"
"1145","Glenn Lewis","Moore, OK","405-793-5000","glennlewis@cox.net"
"1146","Matt Dukes","Midwest City, OK","405-739-1209","mayor@midwestcityok.org"
"1147","Will Joyce","Stillwater, OK","405-372-0025","mayor@stillwater.org"
"1148","George Pankonin","Enid, OK","580-234-1222","gpankonin@enid.org"
"1149","John 'Bob' Robert Coburn","Muskogee, OK","918-684-6201","mayor@muskogeeonline.org"
"1150","Chris Kelley","Owasso, OK","918-376-1500","ckelley@cityofowasso.com"
"1151","Dale Copeland","Bartlesville, OK","918-333-4488","copeland4bville@aol.com"
"1152","Richard Finley","Shawnee, OK","405-878-1601","kerri.wary@shawneeok.org"
"1153","Ted Wheeler","Portland, OR","503-823-4120","mayorwheeler@portlandoregon.gov"
"1154","Chuck Bennett","Salem, OR","503-588-6255","cbennett@cityofsalem.net"
"1155","Lucy K. Vinis","Eugene, OR","541-682-5010","lucy.k.vinis@ci.eugene.or.us"
"1156","Shane T. Bemis","Gresham, OR","503-661-3000","mayorbemis@greshamoregon.gov"
"1157","Steve Callaway","Hillsboro, OR","503-681-6219","steve.callaway@hillsboro-oregon.gov"
"1158","Denny Doyle","Beaverton, OR","503-526-2497","mayormail@beavertonoregon.gov"
"1159","Sally Russell","Bend, OR","541-388-5505","srussell@bendoregon.gov"
"1160","Gary H. Wheeler","Medford, OR","541-774-2000","mayor@ci.medford.or.us"
"1161","Christine Lundberg","Springfield, OR","541-726-3702","mayor@ci.springfield.or.us"
"1162","Biff Traber","Corvallis, OR","541-757-6985","biff.traber@corvallisoregon.gov"
"1163","Jason B. Snider","Tigard, OR","503-718-2476","jason@tigard-or.gov"
"1164","Sharon Konopa","Albany, OR","541-926-6812","sharon.konopa@cityofalbany.net"
"1165","Cathy Clark","Keizer, OR","503-390-3700","clarkc@keizer.org"
"1166","Kent Studebaker","Lake Oswego, OR","(503) 635-0270","kstudebaker@ci.oswego.or.us"
"1167","Roy Lindsay","Grants Pass, OR","(541) 291-0346","rlindsay@grantspassoregon.gov"
"1168","Dan Holladay","Oregon City, OR","971-269-9471","dholladay@orcity.org"
"1169","Scott Hill","McMinnville, OR","503-434-5547","scott.hill@mcminnvilleoregon.gov"
"1170","George Endicott","Redmond, OR","(541) 948-3219","george.endicott@ci.redmond.or.us"
"1171","Russell Axelrod","West Linn, OR","","raxelrod@westlinnoregon.gov"
"1172","Tim Knapp","Wilsonville, OR","","knapp@ci.wilsonville.or.us"
"1173","Lou Ogden","Tualatin, OR","503-692-0163","lou.ogden@juno.com"
"1174","Tom Ellis","Happy Valley, OR","503-783-3800","tome@happyvalleyor.gov"
"1175","Mark Gamba","Milwaukie, OR","","gambam@milwaukieoregon.gov"
"1176","Casey Ryan","Troutdale, OR","","casey.ryan@troutdaleoregon.gov"
"1177","Stan Pulliam","Sandy, OR","503-668-5533","spulliam@cityofsandy.com"
"1178","Scott Burge","Scappoose, OR","503-543-7146","mayor@cityofscappoose.org"
"1179","Timothy Clark","Wood Village, OR","","timc@nwns.com"
"1180","","Durham, OR","",""
"1181","Heather Kibbey","Rivergrove, OR","","mayor@cityofrivergrove.com"
"1182","Jim Kenney","Philadelphia, PA","215-686-2190","james.kenney@phila.gov"
"1183","William Peduto","Pittsburgh, PA","412-255-2626","bill.peduto@pittsburghpa.gov"
"1184","Ray O'Connell","Allentown, PA","610-437-7546","ray.oconnell@allentownpa.gov"
"1185","Joe Schember","Erie, PA","814-870-1200","jschember@erie.pa.us"
"1186","Eddie Moran","Reading, PA","610-655-6234","mayor@readingpa.org"
"1187","Barbarann Keffer","Upper Darby Township, PA","610-352-4103","mayor@upperdarby.org"
"1188","Paige G. Cognetti","Scranton, PA","570-348-4101","pcognetti@scrantonpa.gov"
"1189","Robert Donchez","Bethlehem, PA","610-865-7100","rdonchez@bethlehem-pa.gov"
"1190","Joseph DiGirolamo","Bensalem, PA","215-633-3603","mayorsoffice@bensalem-township.org"
"1191","Danene Sorace","Lancaster, PA","717-291-4701","mayorsoffice@cityoflancasterpa.com"
"1192","Daniel S. Bernheim Esq.","Lower Merion Township, PA","610-649-6931","dbernheim@wilentz.com"
"1193","Wayne C. Luker","Abington, PA","215-659-7964","wayneluker@aol.com"
"1194","John Groh","Millcreek Township, PA","814-833-1111","jgroh@millcreektownship.com"
"1195","Eric Papenfuse","Harrisburg, PA","717-255-3040","mayor@harrisburgpa.gov"
"1196","Andy Lewis","Haverford Township, PA","610-609-1902","allewis4@gmail.com"
"1197","Lowman S. Henry","Lower Paxton Township, PA","717-657-5600","lhenry@lowerpaxton-pa.gov"
"1198","Tom Tosti","Middletown Township, PA","215-750-3800","ttosti@middletownbucks.org"
"1199","Michael Helfrich","York, PA","717-849-2221","mhelfrich@yorkcity.org"
"1200","Matt Pacifico","Altoona, PA","814-949-2405","council@altoonapa.gov"
"1201","George Reese","Hempfield Township, PA","724-834-7232","greese@hempfieldtwp.org"
"1202","Ronald L. Filippelli","State College, PA","814-234-7110","mayor@statecollegepa.us"
"1203","Pauline Calabrese","Penn Hills, PA","412-798-0579","mayor@pennhills.org"
"1204","George C. Brown","Wilkes-Barre, PA","570-208-4158","gbrown@wilkes-barre.pa.us"
"1205","Barry Moore","Northampton Township, PA","215-357-6800","bmoore@nhtwp.org"
"1206","Daniel B. Norris","Cheltenham Township, PA","215-635-0383","dnorris@cheltenham-township.org"
"1207","Robert Harvie","Falls Township, PA","215-949-9000","b.harvie@fallstwp.com"
"1208","Thaddeus Kirkland","Chester, PA","610-447-7723","tkirkland@chestercity.com"
"1209","Steve Silverman","Mount Lebanon, PA","412-491-3794","ssilverman@mtlebanon.org"
"1210","Jason T. Croley","Warminster Township, PA","215-443-5414","jcroley@warminsterpa.org"
"1211","Daniel R. Grenier","Lower Makefield Township, PA","267-274-1191","dgrenier@lmt.org"
"1212","Jack Allen","Bethel Park, PA","412-831-9923","mayor@bethelpark.net"
"1213","Lisa Borowski","Radnor Township, PA","610-355-0611","lborowski@radnor.org"
"1214","Robert J. Willert","Ridley Township, PA","610-534-4806","contact@ridleytwp.org"
"1215","Ronald W. Beitler","Lower Macungie Township, PA","610-966-4343","rbeitler@lowermac.com"
"1216","Zachary Haigis","North Huntingdon Township, PA","724-396-1122","zhaigis@msn.com"
"1217","Salvatore  'Sal' J. Panto, Jr. Jr.","Easton, PA","610-250-6610","spanto@easton-pa.gov"
"1218","Marita Garrett","Wilkinsburg, PA","412-287-2551","mgarrett@wilkinsburgpa.gov"
"1219","Josh Maxwell","Downington, PA","","joshmaxwell@me.com"
"1220","Jorge O. Elorza","Providence, RI","401-421-2489","mayor@providenceri.com"
"1221","Allan W. Fung","Cranston, RI","401-780-3110","afung@cranstonri.org"
"1222","Joseph J. Solomon","Warwick, RI","401-738-2000","mayorsoffice@warwickri.com"
"1223","Donald R. Grebien","Pawtucket, RI","401-728-0500","dgrebien@pawtucketri.com"
"1224","Roberto DaSilva","East Providence, RI","401-323-8641","rdasilva@cityofeastprov.com"
"1225","Lisa Baldelli-Hunt","Woonsocket, RI","401-762-6400","cady@woonsocketri.org"
"1226","Kerry L. McGee","Coventry, RI","401-821-1228","district3@coventryri.org"
"1227","Jeffrey J. Mutter","Cumberland, RI","401-728-2400","jmutter@cumberlandri.org"
"1228","Charles A. Lombardi","North Providence, RI","401-232-0900","mlanni@northprovidenceri.gov"
"1229","Abel G. Collins","South Kingstown, RI","401-789-9331 x1201","towncouncil@southkingstownri.com"
"1230","James A. Diossa","Central Falls, RI","401-727-7474","mayor@centralfallsri.us"
"1231","John J. Tecklenburg","Charleston, SC","843-577-4727","tecklenburgj@charleston-sc.gov"
"1232","Steve Benjamin","Columbia, SC","803-545-3075","stephen.benjamin@columbiasc.gov"
"1233","R Keith Summey","North Charleston, SC","843-740-2504","mayor@northcharleston.org"
"1234","Will Haynie","Mount Pleasant, SC","843-884-8517","councilclk@tompsc.com"
"1235","John Gettys","Rock Hill, SC","803-329-7011","john.gettys@mortongettys.com"
"1236","Knox H. White","Greenville, SC","864-467-4590","kwhite@greenvillesc.gov"
"1237","Ricky Waring","Summerville, SC","843-851-4239","rickywaring@summervillesc.gov"
"1238","Gregory Habib","Goose Creek, SC","843-797-6220","ghabib@cityofgoosecreek.com"
"1239","Joseph T. McElveen Jr.","Sumter, SC","803-436-2580","jmcelveen@sumter-sc.com"
"1240","John J. McCann","Hilton Head Island, SC","843-341-4702","johnm@hiltonheadislandsc.gov"
"1241","Junie L. White","Spartanburg, SC","864-596-2033","cmcintyre@cityofspartanburg.org"
"1242","Stephen J. Wukela","Florence, SC","843-669-5634","swukela@cityofflorence.com"
"1243","Brenda Bethune","Myrtle Beach, SC","843-918-1004","bbethune@cityofmyrtlebeach.com"
"1244","Rick Osbon","Aiken, SC","803-642-7600","rosbon@cityofaiken.gov"
"1245","Terence Roberts","Anderson, SC","864-231-2200","troberts@cityofandersonsc.com"
"1246","Lisa Sulka","Bluffton, SC","",""
"1247","Michael C. Butler","Orangeburg, SC","803-533-6000","mbutler@orangeburg.sc.us"
"1248","Elise Partin","Cayce, SC","803-796-9020","epartin@outlook.com"
"1249","Alfred Mae Drakeford","Camden, SC","803-432-2421","info@cityofcamden.org"
"1250","Tiffany R. Ownbey","Belton, SC","864-338-7773","mayortownbey@cityofbeltonsc.com"
"1251","Michael Bishop","Springdale, SC","803-920-4074","mbishop@springdalesc.com"
"1252","Mark Huguley","Arcadia Lakes, SC","",""
"1253","Paul TenHaken","Sioux Falls, SD","605-367-8800","pth@siouxfalls.org"
"1254","Steve Allender","Rapid City, SD","605-394-4110","mayorsoffice@rcgov.org"
"1255","Laurie Gill","Pierre, SD","605-773-7341","laurie.gill@ci.pierre.sd.us"
"1256","John Cooper","Nashville, TN","615-862-6000","mayor@nashville.gov"
"1257","Jim Strickland","Memphis, TN","901-636-6786","mayor@memphistn.gov"
"1258","Indya Kincannon","Knoxville, TN","865-215-2040","mayor@knoxvilletn.gov"
"1259","Andy Berke","Chattanooga, TN","423-643-7800","mayor@chattanooga.gov"
"1260","Joe Pitts","Clarksville, TN","931-645-7444","joe.pitts@cityofclarksville.com"
"1261","Shane McFarland","Murfreesboro, TN","615-849-2629","smcfarland@murfreesborotn.gov"
"1262","Ken Moore","Franklin, TN","615-791-3217","ken.moore@franklintn.gov"
"1263","Scott Conger","Jackson, TN","731-425-8240","sconger@cityofjackson.net"
"1264","Jenny Brock","Johnson City, TN","423-791-1262","jbrock@johnsoncitytn.org"
"1265","Keith McDonald","Bartlett, TN","901-385-6400","kmcdonald@cityofbartlett.org"
"1266","Jamie Clary","Hendersonville, TN","615-822-1000","jclary@hvilletn.org"
"1267","Patrick W. Shull","Kingsport, TN","423-229-9412","patshull@kingsporttn.gov"
"1268","Mary Esther Reed","Smyrna, TN","615-459-9742","me.reed@townofsmyrna.org"
"1269","Stan R. Joyner Jr.","Collierville, TN","901-457-2200","sjoyner@ci.collierville.tn.us"
"1270","Kevin Brooks","Cleveland, TN","423-476-8931","kbrooks@clevelandtn.gov"
